selected_features_bin,experiment_name,pob_accuracy_avg,pob_ngenes_avg,count
AC000115_cds1_at,"leukemia_base_0001_16, leukemia_base_0003_2, leukemia_base_0009_4, leukemia_base_0009_28","[0.971, 1.0, 0.984, 0.984]","[659.0, 657.0, 71.0, 65.0]",4
AC002045_xpt1_at,"leukemia_base_0002_5, leukemia_base_0002_9, leukemia_base_0002_27, leukemia_base_0003_2, leukemia_base_0006_7, leukemia_base_0008_6, leukemia_base_0009_12, leukemia_base_0009_13","[1.0, 0.999, 1.0, 1.0, 0.969, 0.828, 1.0, 1.0]","[637.0, 636.0, 713.0, 657.0, 63.0, 67.0, 61.0, 58.0]",8
AC002045_xpt2_s_at,"leukemia_base_0002_22, leukemia_base_0002_29, leukemia_base_0009_27","[1.0, 1.0, 0.969]","[676.0, 707.0, 70.0]",3
AC002073_cds1_at,"leukemia_base_0001_8, leukemia_base_0002_11","[1.0, 1.0]","[715.0, 707.0]",2
AC002076_cds2_at,"leukemia_base_0001_2, leukemia_base_0001_8, leukemia_base_0001_13, leukemia_base_0001_28, leukemia_base_0002_8, leukemia_base_0002_10, leukemia_base_0003_1, leukemia_base_0003_2, leukemia_base_0007_1, leukemia_base_0008_16, leukemia_base_0008_29","[1.0, 1.0, 1.0, 0.971, 1.0, 1.0, 1.0, 1.0, 0.984, 0.891, 0.875]","[674.0, 715.0, 682.0, 669.0, 694.0, 657.0, 660.0, 657.0, 50.0, 75.0, 74.0]",11
AC002077_at,"leukemia_base_0001_12, leukemia_base_0002_15, leukemia_base_0006_3, leukemia_base_0009_0, leukemia_base_0008_22, leukemia_base_0013_23","[0.971, 1.0, 0.984, 1.0, 0.891, 0.971]","[694.0, 654.0, 64.0, 64.0, 58.0, 40.0]",6
AC002086_at,"leukemia_base_0001_29, leukemia_base_0002_5, leukemia_base_0002_7, leukemia_base_0002_28, leukemia_base_0013_3","[1.0, 1.0, 1.0, 1.0, 0.971]","[665.0, 637.0, 682.0, 688.0, 30.0]",5
AC002115_cds1_at,"leukemia_base_0001_4, leukemia_base_0001_21, leukemia_base_0002_2, leukemia_base_0002_10, leukemia_base_0002_21, leukemia_base_0002_22, leukemia_base_0007_7, leukemia_base_0007_8, leukemia_base_0011_22, leukemia_base_0013_16","[0.971, 1.0, 1.0, 1.0, 0.969, 1.0, 1.0, 1.0, 0.969, 1.0]","[654.0, 704.0, 683.0, 657.0, 679.0, 676.0, 66.0, 64.0, 38.0, 28.0]",10
AC002115_cds3_at,"leukemia_base_0001_0, leukemia_base_0001_3, leukemia_base_0001_15, leukemia_base_0002_10, leukemia_base_0002_11, leukemia_base_0002_22, leukemia_base_0003_1","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[680.0, 733.0, 720.0, 657.0, 707.0, 676.0, 660.0]",7
AC002115_cds4_at,"leukemia_base_0002_26, leukemia_base_0002_27, leukemia_base_0002_29, leukemia_base_0008_6, leukemia_base_0008_15","[1.0, 1.0, 1.0, 0.828, 0.891]","[711.0, 713.0, 707.0, 67.0, 70.0]",5
AC002115_rna2_at,"leukemia_base_0001_4, leukemia_base_0001_20, leukemia_base_0001_24, leukemia_base_0002_6, leukemia_base_0002_8, leukemia_base_0002_13, leukemia_base_0002_28, leukemia_base_0009_13","[0.971, 0.971, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[654.0, 632.0, 663.0, 671.0, 694.0, 696.0, 688.0, 58.0]",8
AC002450_at,leukemia_base_0001_18,[1.0],[690.0],1
AC002464_at,"leukemia_base_0001_1, leukemia_base_0001_4, leukemia_base_0001_7, leukemia_base_0001_11, leukemia_base_0001_15, leukemia_base_0001_19, leukemia_base_0001_20, leukemia_base_0001_26, leukemia_base_0001_27, leukemia_base_0001_29, leukemia_base_0002_7, leukemia_base_0002_13, leukemia_base_0002_28, leukemia_base_0009_20, leukemia_base_0012_2, leukemia_base_0012_28","[1.0, 0.971, 1.0, 1.0, 1.0, 1.0, 0.971, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999, 1.0, 1.0]","[700.0, 654.0, 692.0, 661.0, 720.0, 676.0, 632.0, 644.0, 734.0, 665.0, 682.0, 696.0, 688.0, 65.0, 64.0, 65.0]",16
AC002477_s_at,"leukemia_base_0001_2, leukemia_base_0001_23, leukemia_base_0002_7, leukemia_base_0002_10, leukemia_base_0002_11, leukemia_base_0002_17, leukemia_base_0002_18, leukemia_base_0008_0","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.938]","[674.0, 646.0, 682.0, 657.0, 707.0, 689.0, 730.0, 73.0]",8
AC002486_at,"leukemia_base_0001_3, leukemia_base_0001_4, leukemia_base_0001_29, leukemia_base_0002_12, leukemia_base_0002_24, leukemia_base_0002_28, leukemia_base_0008_28, leukemia_base_0009_17, leukemia_base_0009_19","[1.0, 0.971, 1.0, 1.0, 1.0, 1.0, 0.906, 0.984, 1.0]","[733.0, 654.0, 665.0, 693.0, 683.0, 688.0, 70.0, 66.0, 68.0]",9
AD000092_cds1_at,"leukemia_base_0001_21, leukemia_base_0002_4, leukemia_base_0002_8, leukemia_base_0002_13, leukemia_base_0002_14, leukemia_base_0012_20","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[704.0, 669.0, 694.0, 696.0, 700.0, 61.0]",6
AD000092_cds2_at,"leukemia_base_0001_27, leukemia_base_0002_7, leukemia_base_0002_11, leukemia_base_0006_0","[1.0, 1.0, 1.0, 1.0]","[734.0, 682.0, 707.0, 66.0]",4
