selected_features_bin,experiment_name,pob_accuracy_avg,pob_ngenes_avg,count
att_198,"mandelon_base_0017_4, mandelon_base_0017_12, mandelon_base_0023_18","[0.762, 0.715, 0.81]","[29.0, 45.0, 33.0]",3
att_199,"mandelon_base_0017_2, mandelon_base_0023_14, mandelon_base_0023_20, mandelon_base_0023_28","[0.73, 0.788, 0.785, 0.748]","[44.0, 36.0, 30.0, 36.0]",4
att_2,mandelon_base_0017_14,[0.763],[36.0],1
att_20,"mandelon_base_0017_6, mandelon_base_0017_16, mandelon_base_0023_19","[0.778, 0.747, 0.745]","[32.0, 35.0, 41.0]",3
att_200,"mandelon_base_0017_3, mandelon_base_0023_18, mandelon_base_0023_22","[0.753, 0.81, 0.707]","[35.0, 33.0, 41.0]",3
att_201,"mandelon_base_0017_14, mandelon_base_0023_18","[0.763, 0.81]","[36.0, 33.0]",2
att_202,"mandelon_base_0017_2, mandelon_base_0023_3, mandelon_base_0023_22","[0.73, 0.768, 0.707]","[44.0, 35.0, 41.0]",3
att_203,"mandelon_base_0017_6, mandelon_base_0023_21","[0.778, 0.818]","[32.0, 31.0]",2
att_204,"mandelon_base_0017_13, mandelon_base_0023_26","[0.78, 0.723]","[31.0, 44.0]",2
att_205,"mandelon_base_0017_15, mandelon_base_0023_18, mandelon_base_0023_26, mandelon_base_0023_28","[0.76, 0.81, 0.723, 0.748]","[39.0, 33.0, 44.0, 36.0]",4
att_206,"mandelon_base_0017_7, mandelon_base_0023_4, mandelon_base_0023_16","[0.697, 0.665, 0.697]","[41.0, 45.0, 45.0]",3
att_207,"mandelon_base_0023_11, mandelon_base_0023_19, mandelon_base_0023_20","[0.758, 0.745, 0.785]","[44.0, 41.0, 30.0]",3
att_208,"mandelon_base_0017_16, mandelon_base_0017_17, mandelon_base_0023_10","[0.747, 0.728, 0.73]","[35.0, 38.0, 33.0]",3
att_209,"mandelon_base_0017_18, mandelon_base_0023_19, mandelon_base_0023_20, mandelon_base_0023_26, mandelon_base_0023_29","[0.682, 0.745, 0.785, 0.723, 0.785]","[35.0, 41.0, 30.0, 44.0, 28.0]",5
att_21,"mandelon_base_0017_11, mandelon_base_0017_16, mandelon_base_0023_1, mandelon_base_0023_28","[0.695, 0.747, 0.768, 0.748]","[41.0, 35.0, 41.0, 36.0]",4
att_210,mandelon_base_0023_0,[0.697],[36.0],1
