selected_features_bin,experiment_name,pob_accuracy_avg,pob_ngenes_avg,count
U33821_at,"leukemia_base_0002_0, leukemia_base_0002_16, leukemia_base_0002_24","[1.0, 1.0, 1.0]","[685.0, 650.0, 683.0]",3
U33822_at,"leukemia_base_0002_4, leukemia_base_0002_6","[1.0, 1.0]","[669.0, 671.0]",2
U33837_at,"leukemia_base_0002_7, leukemia_base_0002_20","[1.0, 1.0]","[682.0, 647.0]",2
U33838_at,"leukemia_base_0002_2, leukemia_base_0002_5, leukemia_base_0002_10","[1.0, 1.0, 1.0]","[683.0, 637.0, 657.0]",3
U33838_s_at,"leukemia_base_0002_23, leukemia_base_0009_23","[1.0, 0.969]","[726.0, 57.0]",2
U33839_at,leukemia_base_0002_2,[1.0],[683.0],1
U33841_at,"leukemia_base_0002_4, leukemia_base_0002_7, leukemia_base_0002_11, leukemia_base_0002_16, leukemia_base_0002_22","[1.0, 1.0, 1.0, 1.0, 1.0]","[669.0, 682.0, 707.0, 650.0, 676.0]",5
U33849_at,"leukemia_base_0002_2, leukemia_base_0002_12, leukemia_base_0002_18, leukemia_base_0002_26","[1.0, 1.0, 1.0, 1.0]","[683.0, 693.0, 730.0, 711.0]",4
U33880_at,"leukemia_base_0002_5, leukemia_base_0002_25","[1.0, 1.0]","[637.0, 716.0]",2
U33920_at,"leukemia_base_0002_1, leukemia_base_0002_17, leukemia_base_0009_18, leukemia_base_0011_1","[0.984, 1.0, 0.984, 0.984]","[681.0, 689.0, 70.0, 42.0]",4
U33921_at,"leukemia_base_0002_0, leukemia_base_0002_10, leukemia_base_0002_24, leukemia_base_0002_28","[1.0, 1.0, 1.0, 1.0]","[685.0, 657.0, 683.0, 688.0]",4
U33936_s_at,"leukemia_base_0002_16, leukemia_base_0002_26","[1.0, 1.0]","[650.0, 711.0]",2
U34038_at,"leukemia_base_0002_8, leukemia_base_0002_13, leukemia_base_0002_19, leukemia_base_0002_26, leukemia_base_0009_17","[1.0, 1.0, 1.0, 1.0, 0.984]","[694.0, 696.0, 683.0, 711.0, 66.0]",5
U34044_at,leukemia_base_0002_23,[1.0],[726.0],1
U34070_s_at,"leukemia_base_0002_0, leukemia_base_0002_4, leukemia_base_0002_7","[1.0, 1.0, 1.0]","[685.0, 669.0, 682.0]",3
U34301_at,"leukemia_base_0002_5, leukemia_base_0002_11, leukemia_base_0002_13, leukemia_base_0002_15, leukemia_base_0002_22","[1.0, 1.0, 1.0, 1.0, 1.0]","[637.0, 707.0, 696.0, 654.0, 676.0]",5
U34301_r_at,"leukemia_base_0002_2, leukemia_base_0002_14, leukemia_base_0002_20","[1.0, 1.0, 1.0]","[683.0, 700.0, 647.0]",3
U34360_at,"leukemia_base_0002_4, leukemia_base_0002_9","[1.0, 0.999]","[669.0, 636.0]",2
U34587_at,leukemia_base_0009_20,[0.999],[65.0],1
U34605_at,"leukemia_base_0002_6, leukemia_base_0002_21, leukemia_base_0002_23","[1.0, 0.969, 1.0]","[671.0, 679.0, 726.0]",3
